title,content_rating,budget,gross,imdb_score,facenumber_in_poster,num_critic_for_reviews,num_voted_users,num_user_for_reviews,movie_facebook_likes,cast_total_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,director_facebook_likes,genre,actors,year,revenue_millions,runtime_minutes,rating,votes
Batman v Superman: Dawn of Justice,PG-13,250000000.0,330249062.0,6.9,0.0,673.0,371639,3018.0,197000,24450,15000.0,4000.0,2000.0,0.0,"Action,Adventure,Sci-Fi","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",2016,330.25,151,6.7,472307
Superman Returns,PG-13,209000000.0,200069408.0,6.1,0.0,434.0,240396,2367.0,0,29991,18000.0,10000.0,903.0,0.0,"Action,Adventure,Sci-Fi","Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2006,200.07,154,6.1,246797
Quantum of Solace,PG-13,200000000.0,168368427.0,6.7,1.0,403.0,330784,1243.0,0,2023,451.0,412.0,393.0,395.0,"Action,Adventure,Thriller","Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",2008,168.37,106,6.6,347798
Pirates of the Caribbean: Dead Man's Chest,PG-13,225000000.0,423032628.0,7.3,2.0,313.0,522040,1832.0,5000,48486,40000.0,5000.0,1000.0,563.0,"Action,Adventure,Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",2006,423.03,151,7.3,552027
The Lone Ranger,PG-13,215000000.0,89289910.0,6.5,1.0,450.0,181792,711.0,48000,45757,40000.0,2000.0,1000.0,563.0,"Action,Adventure,Western","Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson",2013,89.29,150,6.5,190855
Man of Steel,PG-13,225000000.0,291021565.0,7.2,0.0,733.0,548573,2536.0,118000,20495,15000.0,3000.0,748.0,0.0,"Action,Adventure,Fantasy","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013,291.02,143,7.1,577010
The Avengers,PG-13,220000000.0,623279547.0,8.1,3.0,703.0,995415,1722.0,123000,87697,26000.0,21000.0,19000.0,0.0,"Action,Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",2012,623.28,143,8.1,1045588
The Avengers,PG-13,220000000.0,623279547.0,8.1,3.0,703.0,995415,1722.0,123000,87697,26000.0,21000.0,19000.0,0.0,"Action,Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",2012,623.28,143,8.1,1045588
Pirates of the Caribbean: On Stranger Tides,PG-13,250000000.0,241063875.0,6.7,4.0,448.0,370704,484.0,58000,54083,40000.0,11000.0,1000.0,252.0,"Action,Adventure,Fantasy","Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",2011,241.06,136,6.7,395025
Men in Black 3,PG-13,225000000.0,179020854.0,6.8,1.0,451.0,268154,341.0,40000,12572,10000.0,816.0,718.0,188.0,"Action,Adventure,Comedy","Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",2012,179.02,106,6.8,278379
The Hobbit: The Battle of the Five Armies,PG-13,250000000.0,255108370.0,7.5,0.0,422.0,354228,802.0,65000,9152,5000.0,972.0,773.0,0.0,"Adventure,Fantasy","Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",2014,255.11,144,7.4,385598
The Amazing Spider-Man,PG-13,230000000.0,262030663.0,7.0,0.0,599.0,451803,1225.0,56000,28489,15000.0,10000.0,963.0,464.0,"Action,Adventure","Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,262.03,136,7.0,474320
Robin Hood,PG-13,200000000.0,105219735.0,6.7,0.0,343.0,211765,546.0,17000,3244,891.0,882.0,738.0,0.0,"Action,Adventure,Drama","Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",2010,105.22,140,6.7,221117
The Hobbit: The Desolation of Smaug,PG-13,225000000.0,258355354.0,7.9,6.0,509.0,483540,951.0,83000,9152,5000.0,972.0,773.0,0.0,"Adventure,Fantasy","Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott",2013,258.36,161,7.9,513744
The Golden Compass,PG-13,180000000.0,70083519.0,6.1,2.0,251.0,149019,666.0,0,24106,16000.0,6000.0,1000.0,129.0,"Adventure,Family,Fantasy","Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker",2007,70.08,113,6.1,155078
Captain America: Civil War,PG-13,250000000.0,407197282.0,8.2,0.0,516.0,272670,1022.0,72000,64798,21000.0,19000.0,11000.0,94.0,"Action,Adventure,Sci-Fi","Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",2016,408.08,147,7.9,411656
Battleship,PG-13,209000000.0,65173160.0,5.9,0.0,377.0,202382,751.0,44000,26679,14000.0,10000.0,627.0,532.0,"Action,Adventure,Sci-Fi","Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna",2012,65.17,131,5.8,210349
Jurassic World,PG-13,150000000.0,652177271.0,7.0,0.0,644.0,418214,1290.0,150000,8458,3000.0,2000.0,1000.0,365.0,"Action,Adventure,Sci-Fi","Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",2015,652.18,124,7.0,455169
Skyfall,PG-13,200000000.0,304360277.0,7.8,0.0,750.0,522030,1498.0,80000,2039,883.0,563.0,393.0,0.0,"Action,Adventure,Thriller","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",2012,304.36,143,7.8,547386
Skyfall,PG-13,200000000.0,304360277.0,7.8,0.0,750.0,522048,1498.0,80000,2039,883.0,563.0,393.0,0.0,"Action,Adventure,Thriller","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",2012,304.36,143,7.8,547386
Alice in Wonderland,PG,200000000.0,334185206.0,6.5,0.0,451.0,306320,736.0,24000,79957,40000.0,25000.0,11000.0,13000.0,"Adventure,Family,Fantasy","Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway",2010,334.19,108,6.5,324898
Alice in Wonderland,PG,200000000.0,334185206.0,6.5,0.0,451.0,306336,736.0,24000,79957,40000.0,25000.0,11000.0,13000.0,"Adventure,Family,Fantasy","Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway",2010,334.19,108,6.5,324898
X-Men: The Last Stand,PG-13,210000000.0,234360014.0,6.8,0.0,334.0,383427,1912.0,0,21714,20000.0,808.0,560.0,420.0,"Action,Adventure,Fantasy","Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",2006,234.36,104,6.7,406540
Monsters University,G,200000000.0,268488329.0,7.3,0.0,376.0,235025,265.0,44000,14863,12000.0,779.0,760.0,37.0,"Animation,Adventure,Comedy","Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2013,268.49,104,7.3,252119
Transformers: Revenge of the Fallen,PG-13,200000000.0,402076689.0,6.0,0.0,366.0,323207,1439.0,0,3218,894.0,581.0,464.0,0.0,"Action,Adventure,Sci-Fi","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2009,402.08,150,6.0,335757
Transformers: Age of Extinction,PG-13,210000000.0,245428137.0,5.7,2.0,378.0,242420,918.0,56000,3988,974.0,956.0,808.0,0.0,"Action,Adventure,Sci-Fi","Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",2014,245.43,165,5.7,255483
Oz the Great and Powerful,PG,215000000.0,234903076.0,6.4,4.0,525.0,175409,511.0,60000,73441,44000.0,15000.0,11000.0,0.0,"Adventure,Family,Fantasy","James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013,234.9,130,6.3,181521
Oz the Great and Powerful,PG,215000000.0,234903076.0,6.4,4.0,525.0,175413,511.0,60000,73441,44000.0,15000.0,11000.0,0.0,"Adventure,Family,Fantasy","James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013,234.9,130,6.3,181521
The Amazing Spider-Man 2,PG-13,200000000.0,202853933.0,6.7,0.0,495.0,321227,1067.0,41000,28631,15000.0,10000.0,825.0,464.0,"Action,Adventure,Sci-Fi","Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",2014,202.85,142,6.7,342183
Cars 2,G,200000000.0,191450875.0,6.3,0.0,304.0,101178,283.0,10000,4482,1000.0,919.0,776.0,487.0,"Animation,Adventure,Comedy","Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer",2011,191.45,106,6.2,110490
Green Lantern,PG-13,200000000.0,116593191.0,5.6,2.0,436.0,223393,550.0,24000,17657,16000.0,368.0,326.0,258.0,"Action,Adventure,Sci-Fi","Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong",2011,116.59,114,5.6,231907
Toy Story 3,G,200000000.0,414984497.0,8.3,3.0,453.0,544884,733.0,30000,19085,15000.0,1000.0,721.0,125.0,"Animation,Adventure,Comedy","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",2010,414.98,103,8.3,586669
Terminator Salvation,PG-13,200000000.0,125320003.0,6.6,0.0,422.0,286095,974.0,0,27468,23000.0,3000.0,988.0,368.0,"Action,Adventure,Drama","Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009,125.32,115,6.6,297093
World War Z,PG-13,190000000.0,202351611.0,7.0,0.0,654.0,465019,995.0,129000,32392,17000.0,11000.0,1000.0,395.0,"Action,Adventure,Horror","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013,202.35,116,7.0,494819
X-Men: Days of Future Past,PG-13,200000000.0,233914986.0,8.0,7.0,539.0,514125,752.0,82000,91434,34000.0,22000.0,20000.0,0.0,"Action,Adventure,Sci-Fi","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",2014,233.91,132,8.0,552298
Star Trek Into Darkness,PG-13,190000000.0,228756232.0,7.8,0.0,590.0,395573,1171.0,92000,21411,19000.0,981.0,928.0,14000.0,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013,228.76,132,7.8,417663
The Great Gatsby,PG-13,105000000.0,144812796.0,7.3,4.0,490.0,362912,753.0,115000,29770,29000.0,509.0,77.0,1000.0,"Drama,Romance","Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",2013,144.81,143,7.3,386102
The Great Gatsby,PG-13,105000000.0,144812796.0,7.3,4.0,490.0,362933,753.0,115000,29769,29000.0,509.0,76.0,1000.0,"Drama,Romance","Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",2013,144.81,143,7.3,386102
Prince of Persia: The Sands of Time,PG-13,200000000.0,90755643.0,6.6,2.0,306.0,222403,453.0,23000,16149,15000.0,567.0,236.0,179.0,"Action,Adventure,Fantasy","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina",2010,90.76,116,6.6,233148
Pacific Rim,PG-13,190000000.0,101785482.0,7.0,0.0,575.0,381148,1106.0,83000,19166,16000.0,968.0,919.0,0.0,"Action,Adventure,Sci-Fi","Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day",2013,101.79,131,7.0,400519
Transformers: Dark of the Moon,PG-13,195000000.0,352358779.0,6.3,2.0,428.0,326180,899.0,46000,2593,894.0,829.0,581.0,0.0,"Action,Adventure,Sci-Fi","Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",2011,352.36,154,6.3,338369
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,185000000.0,317011114.0,6.2,2.0,470.0,333847,2054.0,5000,14959,11000.0,1000.0,1000.0,14000.0,"Action,Adventure,Fantasy","Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen",2008,317.01,122,6.2,351361
Brave,PG,185000000.0,237282182.0,7.2,0.0,488.0,273556,428.0,39000,5005,2000.0,1000.0,838.0,56.0,"Animation,Adventure,Comedy","Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters",2012,237.28,93,7.2,293941
Star Trek Beyond,PG-13,185000000.0,130468626.0,7.5,4.0,322.0,53607,432.0,30000,1327,998.0,119.0,105.0,681.0,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016,158.8,122,7.1,164567
WALL·E,G,180000000.0,223806889.0,8.4,0.0,421.0,718837,1043.0,16000,2975,1000.0,729.0,522.0,475.0,"Animation,Adventure,Family","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",2008,223.81,98,8.4,776897
2012,PG-13,200000000.0,166112167.0,5.8,0.0,367.0,283418,1055.0,13000,2144,1000.0,468.0,310.0,776.0,"Action,Adventure,Sci-Fi","John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",2009,166.11,158,5.8,297984
Jupiter Ascending,PG-13,176000000.0,47375327.0,5.4,1.0,384.0,139593,720.0,44000,47334,17000.0,15000.0,13000.0,0.0,"Action,Adventure,Sci-Fi","Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",2015,47.38,127,5.3,150121
The Legend of Tarzan,PG-13,180000000.0,124051759.0,6.6,2.0,248.0,42372,239.0,29000,21175,11000.0,10000.0,103.0,282.0,"Action,Adventure,Drama","Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",2016,126.59,110,6.3,117590
The Legend of Tarzan,PG-13,180000000.0,124051759.0,6.6,2.0,248.0,42372,239.0,29000,21175,11000.0,10000.0,103.0,282.0,"Action,Adventure,Drama","Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",2016,126.59,110,6.3,117590
X-Men: Apocalypse,PG-13,178000000.0,154985087.0,7.3,6.0,396.0,148379,622.0,54000,49684,34000.0,13000.0,1000.0,0.0,"Action,Adventure,Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016,155.33,144,7.1,275510
The Dark Knight,PG-13,185000000.0,533316061.0,9.0,0.0,645.0,1676169,4667.0,37000,57802,23000.0,13000.0,11000.0,22000.0,"Action,Crime,Drama","Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",2008,533.32,152,9.0,1791916
Up,PG,175000000.0,292979556.0,8.3,1.0,408.0,665575,704.0,27000,2635,1000.0,848.0,262.0,0.0,"Animation,Adventure,Comedy","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",2009,292.98,96,8.3,722203
Iron Man,PG-13,140000000.0,318298180.0,7.9,3.0,486.0,696338,1055.0,10000,39252,21000.0,12000.0,4000.0,4000.0,"Action,Adventure,Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",2008,318.3,126,7.9,737719
Hugo,PG,170000000.0,73820094.0,7.5,0.0,682.0,245333,678.0,42000,36017,17000.0,16000.0,1000.0,17000.0,"Adventure,Drama,Family","Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",2011,73.82,126,7.5,259182
The Mummy: Tomb of the Dragon Emperor,PG-13,145000000.0,102176165.0,5.2,2.0,264.0,117927,501.0,0,9131,5000.0,3000.0,595.0,357.0,"Action,Adventure,Fantasy","Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh",2008,102.18,112,5.2,124554
Suicide Squad,PG-13,175000000.0,161087183.0,6.9,8.0,418.0,118992,971.0,80000,11287,10000.0,336.0,329.0,452.0,"Action,Adventure,Fantasy","Will Smith, Jared Leto, Margot Robbie, Viola Davis",2016,325.02,123,6.2,393727
Edge of Tomorrow,PG-13,178000000.0,100189501.0,7.9,1.0,585.0,431620,741.0,77000,12652,10000.0,854.0,509.0,218.0,"Action,Adventure,Sci-Fi","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014,100.19,113,7.9,471815
G.I. Joe: The Rise of Cobra,PG-13,175000000.0,150167630.0,5.8,4.0,250.0,174578,534.0,0,26683,23000.0,2000.0,570.0,208.0,"Action,Adventure,Sci-Fi","Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje",2009,150.17,118,5.8,180105
Inside Out,PG,175000000.0,356454367.0,8.3,1.0,536.0,345198,773.0,118000,2944,1000.0,767.0,384.0,0.0,"Animation,Adventure,Comedy","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",2015,356.45,95,8.2,416689
The Jungle Book,PG,175000000.0,362645141.0,7.8,0.0,370.0,106072,398.0,65000,32921,19000.0,13000.0,591.0,4000.0,"Adventure,Drama,Family","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2016,364.0,106,7.5,198243
The Jungle Book,PG,175000000.0,362645141.0,7.8,0.0,370.0,106221,398.0,65000,32921,19000.0,13000.0,591.0,4000.0,"Adventure,Drama,Family","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2016,364.0,106,7.5,198243
Iron Man 2,PG-13,200000000.0,312057433.0,7.0,4.0,453.0,522371,723.0,18000,48638,21000.0,19000.0,4000.0,4000.0,"Action,Adventure,Sci-Fi","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",2010,312.06,124,7.0,556666
Snow White and the Huntsman,PG-13,170000000.0,155111815.0,6.1,0.0,416.0,228554,710.0,53000,72881,26000.0,17000.0,11000.0,274.0,"Action,Adventure,Drama","Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",2012,155.11,127,6.1,239772
Maleficent,PG,180000000.0,241407328.0,7.0,2.0,401.0,252257,634.0,89000,15516,11000.0,2000.0,846.0,171.0,"Action,Adventure,Family","Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville",2014,241.41,97,7.0,268877
Dawn of the Planet of the Apes,PG-13,170000000.0,208543795.0,7.6,0.0,521.0,317542,620.0,45000,14363,10000.0,2000.0,884.0,198.0,"Action,Adventure,Drama","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",2014,208.54,130,7.6,337777
Captain America: The Winter Soldier,PG-13,170000000.0,259746958.0,7.8,1.0,576.0,496749,742.0,55000,36188,19000.0,11000.0,2000.0,94.0,"Action,Adventure,Sci-Fi","Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford",2014,259.75,136,7.8,542362
Tomorrowland,PG,190000000.0,93417865.0,6.5,2.0,443.0,128306,497.0,37000,5046,2000.0,638.0,604.0,663.0,"Action,Adventure,Family","George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",2015,93.42,130,6.5,143069
Big Hero 6,PG,165000000.0,222487711.0,7.9,0.0,384.0,279093,433.0,41000,2963,756.0,719.0,562.0,38.0,"Animation,Action,Adventure","Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",2014,222.49,102,7.8,309186
Wreck-It Ralph,PG,165000000.0,189412677.0,7.8,1.0,377.0,272534,345.0,40000,4451,975.0,931.0,833.0,66.0,"Animation,Adventure,Comedy","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",2012,189.41,101,7.8,290559
Independence Day: Resurgence,PG-13,165000000.0,102315545.0,5.5,0.0,286.0,58137,520.0,67000,3233,890.0,812.0,535.0,776.0,"Action,Adventure,Sci-Fi","Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",2016,103.14,120,5.3,127553
How to Train Your Dragon,PG,165000000.0,217387997.0,8.2,0.0,288.0,485430,492.0,33000,20453,18000.0,953.0,759.0,255.0,"Animation,Action,Adventure","Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson",2010,217.39,98,8.1,523893
Guardians of the Galaxy,PG-13,170000000.0,333130696.0,8.1,3.0,653.0,682155,1097.0,96000,32438,14000.0,14000.0,3000.0,571.0,"Action,Adventure,Sci-Fi","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",2014,333.13,121,8.1,757074
Interstellar,PG-13,165000000.0,187991439.0,8.6,1.0,712.0,928227,2725.0,349000,31488,11000.0,11000.0,6000.0,22000.0,"Adventure,Drama,Sci-Fi","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2014,187.99,169,8.6,1047747
Inception,PG-13,160000000.0,292568851.0,8.8,0.0,642.0,1468200,2803.0,175000,81115,29000.0,27000.0,23000.0,22000.0,"Action,Adventure,Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",2010,292.57,148,8.8,1583625
The Curious Case of Benjamin Button,PG-13,150000000.0,127490802.0,7.8,2.0,362.0,459346,822.0,23000,13333,11000.0,1000.0,919.0,21000.0,"Drama,Fantasy,Romance","Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",2008,127.49,166,7.8,485075
The Hunger Games: Mockingjay - Part 2,PG-13,160000000.0,281666058.0,6.6,1.0,389.0,166137,383.0,38000,81385,34000.0,22000.0,14000.0,508.0,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015,281.67,137,6.6,202380
Alice Through the Looking Glass,PG,170000000.0,76846624.0,6.4,1.0,218.0,21352,131.0,30000,80806,40000.0,25000.0,11000.0,33.0,"Adventure,Family,Fantasy","Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",2016,77.04,113,6.2,57207
Warcraft,PG-13,160000000.0,46978995.0,7.3,0.0,275.0,111609,781.0,89000,5505,3000.0,716.0,648.0,0.0,"Action,Adventure,Fantasy","Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",2016,47.17,123,7.0,187547
Terminator Genisys,PG-13,155000000.0,89732035.0,6.6,2.0,474.0,188457,867.0,82000,38873,24000.0,10000.0,2000.0,230.0,"Action,Adventure,Sci-Fi","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney",2015,89.73,126,6.5,205365
Transformers,PG-13,150000000.0,318759914.0,7.1,0.0,396.0,513158,1782.0,8000,2333,662.0,599.0,581.0,0.0,"Action,Adventure,Sci-Fi","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2007,318.76,144,7.1,531112
Harry Potter and the Order of the Phoenix,PG-13,150000000.0,292000866.0,7.5,3.0,329.0,355137,1108.0,0,33433,21000.0,11000.0,687.0,282.0,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",2007,292.0,138,7.5,385325
Hancock,PG-13,150000000.0,227946274.0,6.4,0.0,318.0,343648,590.0,0,21584,10000.0,9000.0,979.0,532.0,"Action,Crime,Drama","Will Smith, Charlize Theron, Jason Bateman, Jae Head",2008,227.95,92,6.4,366138
I Am Legend,PG-13,150000000.0,256386216.0,7.2,0.0,323.0,530870,1413.0,11000,13076,10000.0,1000.0,558.0,508.0,"Drama,Horror,Sci-Fi","Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",2007,256.39,101,7.2,565721
Ratatouille,G,150000000.0,206435493.0,8.0,0.0,318.0,473887,626.0,10000,4764,1000.0,1000.0,954.0,663.0,"Animation,Comedy,Family","Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",2007,206.44,111,8.0,504039
X-Men Origins: Wolverine,PG-13,150000000.0,179883016.0,6.7,0.0,350.0,361924,641.0,0,40054,20000.0,16000.0,2000.0,151.0,"Action,Adventure,Sci-Fi","Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2009,179.88,107,6.7,388447
Frozen,PG,150000000.0,400736600.0,7.6,0.0,406.0,421658,904.0,58000,2582,1000.0,523.0,490.0,69.0,"Animation,Adventure,Comedy","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",2013,400.74,102,7.5,451894
Thor: The Dark World,PG-13,170000000.0,206360018.0,7.1,3.0,486.0,414070,532.0,63000,59803,26000.0,20000.0,12000.0,230.0,"Action,Adventure,Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård",2013,206.36,112,7.0,443584
Mad Max: Fury Road,R,150000000.0,153629485.0,8.1,0.0,739.0,552503,1588.0,191000,40025,27000.0,9000.0,943.0,750.0,"Action,Adventure,Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",2015,153.63,120,8.1,632842
Thor,PG-13,150000000.0,181015141.0,7.0,1.0,516.0,536314,738.0,63000,60059,26000.0,20000.0,12000.0,0.0,"Action,Adventure,Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011,181.02,115,7.0,570814
Wrath of the Titans,PG-13,150000000.0,83640426.0,5.8,0.0,310.0,152826,253.0,19000,16184,14000.0,897.0,502.0,473.0,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes",2012,83.64,99,5.8,159230
Dark Shadows,PG-13,100000000.0,79711678.0,6.2,7.0,526.0,199039,479.0,82000,80849,40000.0,17000.0,16000.0,13000.0,"Comedy,Fantasy,Horror","Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter",2012,79.71,113,6.2,209326
